name;country;type;date;focus;region;clients;dois
Australian National Data Service;Austrailia;National Institution;05.02.10;General;Asia and Pacific;123;256219
Beijing Genomics Institute;China;Research Institution;11.12.12;Biomedical and health sciences;Asia and Pacific;0;0
Brain Life;United States;Research Institution;14.12.17;Biomedical and health sciences;Americas;1;2
California Digital Library;United States;Academic Institution;01.12.09;General;Europe;184;3201479
California Institute of Technology Library;United States;Academic Library;23.03.18;Physical sciences and engineering;Americas;0;0
Center of Computational Science Research Inc.;United States;Research Institution;27.10.17;Mathematics and computer science;Americas;0;0
Children's Hospital of Philadelphia;United States;Research Institution;10.12.16;Biomedical and health sciences;Americas;1;0
Citrine Informatics;United States;Vendor;25.10.17;Physical sciences and engineering;Americas;0;0
Climate  Science Centers;United States;Government Agency;02.02.18;Earth sciences;Americas;0;0
Code Ocean;United States;Vendor;07.02.17;Mathematics and computer science;Americas;1;209
Conferenza dei Rettori delle Università Italiane (CRUI);Italy;Academic Institution;01.12.11;General;Europe;51;70706
Consorcio de Universidades de la Comunidad de Madrid y de la UNED para la Cooperación Bibliotecaria (Madroño);Spain;Academic Institution;10.05.17;General;Europe;1;162
CSC - IT Center for Science;Finland;National Institution;19.10.16;Mathematics and computer science;Europe;2;173
CyberLeninka;Russian Federation;Vendor;07.02.17;General;Europe;1;2134
Danish e-Infrastructure Cooperation (DeIC);Denmark;Academic Institution;01.12.09;General;Europe;10;409430
Data Archiving and Networked Services;Netherlands;Research Institution;01.05.17;General;Europe;0;0
DataFirst, University of Cape Town;South Africa;Academic Institution;21.08.17;Earth sciences;Middle East and Africa;0;0
Digital Collections of Colorado;United States;Academic Library;20.11.17;General;Americas;3;0
Digital Curation Center;United Kingdom;Research Institution;05.02.10;General;Americas;0;0
Dryad;United States;Service Provider;30.12.17;Earth sciences;Americas;0;0
Elsevier;Netherlands;Publisher;17.06.17;General;Europe;0;0
Environmental Data Initiative;United States;Research Institution;22.05.17;Earth sciences;Americas;1;102672
ETH Zurich;Switzerland;Academic Institution;05.02.10;General;Europe;70;1701226
Euro-Mediterranean Center on Climate Change;Italy;Research Institution;19.05.17;Earth sciences;Europe;0;0
European Inter-University Centre for Human Rights and Democratisation;Italy;Academic Institution;27.02.17;Social sciences;Europe;1;0
European Organization for Nuclear Research (CERN);Switzerland;Research Institution;25.03.14;Earth sciences;Europe;13;678835
figshare;United Kingdom;Vendor;12.09.16;General;Europe;24;898962
Fondren Library;United States;Academic Library;11.07.17;General;Americas;2;26
GeneLab, NASA Ames Research;United States;Government Agency;16.12.17;Biomedical and health sciences;Americas;0;0
German National Library of Economics - Deutsche Zentralbibliothek für Wirtschaftswissenschaften am Leibniz-Informationszentrum Wirtschaft;Germany;National Library;02.12.10;Social sciences;Europe;15;1418
German National Library of Medicine;Germany;National Library;05.02.10;Biomedical and health sciences;Europe;48;242041
German National Library of Science and Technology;Germany;National Library;01.12.09;Physical sciences and engineering;Europe;173;1270596
Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen;Germany;Academic Institution;20.09.13;Mathematics and computer science;Europe;0;0
Harvard University Library;United States;Academic Institution;20.09.13;Social sciences;Europe;0;0
Human Brain Project;Switzerland;Research Institution;15.03.18;Biomedical and health sciences;Europe;0;0
INIST-CNRS;France;National Institution;05.02.10;Physical sciences and engineering;Europe;84;53619
Institute of Electrical and Electronics Engineers;United States;Professional Society;20.09.13;Physical sciences and engineering;Americas;0;0
Inter-University Consortium for Political and Social Research;United States;Research Institution;02.12.10;Social sciences;Americas;0;0
International Treaty on Plant Genetic Resources for Food and Agriculture;Italy;Government Agency;01.03.15;Earth sciences;Europe;1;584385
Japan Science and Technology Agency (JST);Japan;National Institution;25.03.14;Physical sciences and engineering;Asia and Pacific;2;159
King Abdullah University of Science and Technology;Saudi Arabia;Academic Library;02.03.18;Physical sciences and engineering;Middle East and Africa;0;0
Korea Institute of Science and Technology Information;Republic of Korea;National Institution;02.12.10;General;Asia and Pacific;0;0
Leibniz Institute for the Social Sciences;Germany;Research Institution;05.02.10;Social sciences;Europe;86;631449
Library and Information Centre of the Hungarian Academy of Sciences;Hungary;National Institution;20.09.13;General;Europe;73;6844
Ministry of Education and Research Service Provider;Norway;National Institution;24.04.15;General;Europe;11;2044
National Research Council Canada;Canada;National Library;01.12.09;General;Americas;49;299793
National Research Council of Thailand;Thailand;National Institution;11.12.12;General;Asia and Pacific;1;122702
National University Singapore;Singapore;Academic Library;06.07.17;General;Asia and Pacific;1;5413
Niedersächsische Staats- und Universitätsbibliothek Göttingen;Germany;Academic Institution;24.04.15;Humanities;Europe;22;4824
Office of Scientific and Technical Information, US Department of Energy;United States;Government Agency;02.12.10;Physical sciences and engineering;Americas;46;78494
Orbis Cascade Alliance;United States;Academic Institution;28.12.17;General;Americas;2;0
ORCID;United States;Service Provider;27.06.16;General;Americas;0;0
Peter the Great St. Petersburg Polytechnic University;Russian Federation;Academic Institution;01.12.15;General;Europe;15;16297
Poznan Supercomputing and Networking Center;Poland;Academic Institution;25.03.17;Mathematics and computer science;Europe;4;978
Publications Office of the European Union;Luxembourg;Publisher;21.08.17;General;Europe;0;0
Purdue University Libraries;United States;Academic Institution;01.12.09;General;Americas;43;52892
ResearchGate;Germany;Vendor;19.09.16;General;Europe;1;653542
Researchworks / Axiom Data Science;United States;Vendor;10.05.17;Mathematics and computer science;Americas;0;0
Riga Technical University;Latvia;Academic Institution;17.06.17;Physical sciences and engineering;Europe;0;0
Russian Agency for Digital Standardization;Russian Federation;Vendor;05.02.17;General;Europe;50;9763
Small Bodies Node, NASA Planetary Data System;United State;Research Institution;28.03.18;Earth sciences;Americas;0;0
Smithsonian Libraries;United States;Government Agency;06.07.17;General;Americas;2;6
South African Environmental Observation Network;South Africa;Research Institution;25.03.14;Earth sciences;Middle East and Africa;1;1503
Spanish National Research Council;Spain;National Institution;01.12.15;General;Europe;5;8398
Stanford University;United States;Academic Library;02.03.18;General;Americas;0;0
Swedish National Data Service;Sweden;National Institution;02.12.10;General;Europe;19;3347
Swiss Federal Institute of Aquatic Science and Technology;Switzerland;Academic Institution;05.12.17;Earth sciences;Europe;1;0
Tartu University;Estonia;Academic Institution;25.03.14;Earth sciences;Europe;0;0
The British Library;United Kingdom;National Library;01.12.09;General;Europe;103;1093527
TIND;Switzerland;Vendor;27.06.16;Earth sciences;Europe;3;675
Tsinghua University Library;China;Academic Institution;05.09.16;General;Asia and Pacific;2;16
TU Delft;Netherlands;Academic Institution;01.12.09;General;Europe;27;66112
